doc ID	label	text
1		Deceptive practice by signing you up for a monthly service
3		I joined my appointment and waited almost an hour and no doctor showed up. I called the number on their site and after about 6 minutes someone picked up. They informed me the doctor that was supposed to see me had a power outage, but no one got in touch with me about this. Canceled my membership right away and won't be using again.
4		Terrible customer service waiting 2 days for Dr to get back to me to change a prescription Incompetent and unprofessional
6		I saw that this had great reviews and figured that I would give it a go. Unfortunately I did not have a pleasent experience. I waited for over half an hour for my doctor to show up to the appointment and he never did. I called the phone number on the website as it told me to, and no one ever answered. I had to leave a voicemail. Overall I am very dissatisfied with this service and will not be using it again. Am going to be trying out a different site, ZocDoc, which doesn't need a membership to have an appointment. Hoping to have more luck there. I have no idea why this plushcare has so many great reviews.
20		SCAM -  I have been signed up for their “membership” twice.  A total of $30, and i never approved either time.  The doctors cancel right before the appointment saying they can’t help with that and reschedule you with another doctor.  THIS IS A SCAM
91		The first Dr. was an awesome experience. But when second Dr. did not do what he said. I called hotline and was treated so horrible even got hung up on.
103		The experience with the website and doctor was great.  A month later a received a charge for a monthly subscription fee, which I did not sign up for.
115		Tried to sign up to get blood pressure meds but they can't find my insurance but for 100 dollars they will hook me up in 15 minutes I already wasted 4 times that 15 minutes  and they still cant or don't want to because they prefer cash I would have given them minus five rating but it was not available
116		I never received the results from the sed test that was ordered for me. I was asked to provide a full medical history to the MD treating me, which I spent a good amount of time creating and then emailed in, and never heard back a thing about it...and my last two appointments were completely missed by the MD with Plush care emailing me 30 minutes after the start inviting me to reschedule. Got the message...you don't have time for patients either, just like my MD IRL...
117		This was my third time using plushcare. The other two times were awesome I told all my friends. However I was placed on quarantine by Dr.Saja Magid. She never gave me any prescriptions to cure the problems, she sent me paperwork to get tested for Coronavirus. I gave them the same paperwork she gave after an hour and 30 minutes later I was told the paperwork wasn’t any good. They advised not to go to the emergency. I went back home quarantine 10 days. After that I was suppose to go back to work. I have an email stating I couldn’t go back to work until I take the coronavirus test. After I take the test at cvs by my house I asked her for a doctors notice she didn’t want to give it to me, for the same week she told me I couldn’t go back. After she fixed that issues several email later. Prudential needed her to fill out paperwork about my time off for I can get paid. She refused to fill it out. Now I’m stuck and can’t get paid until for 3 weeks.
134		Wrong diagnoses. Turns out tooth causing synose infection.
167		It’s BS you won’t let me cancel through the app. It resulted in me being charged $14.99 for no reason. I will not be back. It’s clear it’s an intentional ploy to reap additional months charges from your customers.
171		I signed up for their service today and scheduled an appointment for 1PM MST with Dr. Austin Smith. I signed on at 12:55PM MST, signed off at 1:28PM MST. Doctor did not join the call at any point in time.
252		Whole visit took around 1 minute, it was really quick but I only wanted prescription which I HAVENT RECEIVED after. Doctor hasnt order any medication for me and it hasnt been changed during whole next day so ive asked for money refund. Im running out of pills and here i wasted 2 days of waiting, 10$ and my insurance will be charged. Scam... shame on you.
255		When signing up on PlushCare I thought their pricing was straightforward & w transparency. Unfortunately here is Another company that tries to get more then they should. When signing up - I paid their first $99 for the first appointment, understandable, then my (2) monthly $14.99 fee. BUT After 60 days they require another appointment of $69 to continue your script. What?Doesn’t seem fair or Koesher does it? If you’re getting an antidepressant script w plush For a year w all their fees is $700. Go see your local doctor. A hell a lot cheaper!
257		Absolute worst experience with tele-health. My insurance company uses PlushCare, but it took forever for PlushCare to apply my insurance. It was constant going back and forth between my insurance company and PlushCare. What was more frustrating was that they made me the middleman. In addition to my insurance issue, my doctor was a no show for TWO appointments. I know I could visit another physician, but it is still just a terrible experience if I want to see a specific physician again. But wait... I'm not done. My physician gave me a referral to see a specialist. I filled out the form after the appointment to complete the referral with the promise that the PlushCare team will be in touch to complete the referral. No one has been in touch, and it has been over 5 days (3 business days and 2 weekend days). Fortunately, my insurance allows me to visit a specialist without a referral, and I won't have to deal with PlushCare to complete the referral. The idea of PlushCare is great, but they dropped the ball so many times that I would never recommend this to friends and family.
